fax_no,gifted_ind,mothertongue3_code,fifth_vp_name,postal_code,type_code,second_vp_name,first_vp_name,mainlevel_code,email_address,sap_ind,telephone_no_2,mrt_desc,bus_desc,third_vp_name,telephone_no,ip_ind,principal_name,mothertongue1_code,nature_code,fourth_vp_name,autonomous_ind,session_code,school_name,dgp_code,address,sixth_vp_name,mothertongue2_code,fax_no_2,zone_code,_id,url_address
64588121,No,Tamil,NULL,569920,GOVERNMENT SCHOOL,MDM TAN SIEW KHIM (CHEN XIUQIN),MR KYAW SAW LYNN,PRIMARY,AMKPS@MOE.EDU.SG,No,na,Ang Mo Kio MRT Station,"76,132,165,166,169,200,000,000",NULL,64520794,No,MRS LIM BEE LAY,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ANG MO KIO PRIMARY SCHOOL,ANG MO KIO,20   ANG MO KIO AVENUE 3,NULL,Malay,na,SOUTH,11,http://www.angmokiopri.moe.edu.sg
64582425,No,Tamil,NULL,569362,GOVERNMENT SCHOOL,MDM LEE KEE CHIN,MDM TONG WAI HAN,SECONDARY,AMKSS@MOE.EDU.SG,No,na,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",NULL,64548605,No,MR SHAW SWEE TAT,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ANG MO KIO SECONDARY SCHOOL,ANG MO KIO,6    ANG MO KIO STREET 22,NULL,Malay,na,SOUTH,12,http://www.angmokiosec.moe.edu.sg
64414690,No,na,NULL,487012,GOVERNMENT-AIDED SCH,MR CHIN LIH KEONG,MR GOH CHIN WEI,SECONDARY,AHS@MOE.EDU.SG,Yes,na,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",NULL,62414866,No,MR KHOO TSE HORNG,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,ANGLICAN HIGH SCHOOL,BEDOK,600  UPPER CHANGI ROAD,NULL,na,na,EAST,13,http://www.anglicanhigh.moe.edu.sg
67775479,No,na,NULL,139745,GOVERNMENT-AIDED SCH,"MISS LIM MEI LIN, AUDREY",MDM SEOW HONG KIANG,JUNIOR COLLEGE,acjc@acjc.edu.sg,No,na,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",NULL,67750511,No,DR CHEE YAN HOON SHIRLEEN,na,CO-ED SCHOOL,NULL,No,FULL DAY,ANGLO-CHINESE JUNIOR COLLEGE,QUEENSTOWN,25   DOVER CLOSE EAST,NULL,na,na,WEST,14,http://www.acjc.edu.sg
62561366,No,Tamil,NULL,309919,GOVERNMENT-AIDED SCH,MR TAN WHYE WEE JEFFREY,MRS AW MENG YIN,SECONDARY,acsbr@moe.edu.sg,No,na,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",NULL,62561633,No,MR LOO MING YAW,Chinese,BOYS' SCHOOL,NULL,No,SINGLE SESSION,ANGLO-CHINESE SCHOOL (BARKER ROAD),NOVENA,60   BARKER ROAD,NULL,Malay,na,SOUTH,15,http://www.acsbr.moe.edu.sg
67731433,Yes,Tamil,MR CHIEW TECK TZER TERENCE,139650,INDEPENDENT SCHOOL,MISS CHOCK SIEW HWA,MRS TEO LAI CHENG JUDY-HO,MIXED LEVELS,ACIS@MOE.EDU.SG,No,na,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MDM YONG LEE HAR,67731633,Yes,MR KOH SUNG- YI ARENE,Chinese,CO-ED SCHOOL,MR SOO MUN KEONG PATRICK,No,SINGLE SESSION,ANGLO-CHINESE SCHOOL (INDEPENDENT),QUEENSTOWN,121  DOVER ROAD,DR YONG YUN LEONG ANDREW,Malay,na,SOUTH,16,http://www.acsindep.moe.edu.sg
67346518,No,Tamil,NULL,227988,GOVERNMENT-AIDED SCH,NULL,MR CHIA CHEE WENG RICHARD CHRIS,PRIMARY,acjs@moe.edu.sg,No,67337912,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",NULL,67337911,No,MRS CHAILLAN MUI TUAN,Chinese,BOYS' SCHOOL,NULL,No,SINGLE SESSION,ANGLO-CHINESE SCHOOL (JUNIOR),CENTRAL,16   WINSTEDT ROAD,NULL,Malay,na,SOUTH,17,www.acsj.moe.edu.sg
63531366,Yes,Tamil,NULL,309918,GOVERNMENT-AIDED SCH,MR CHUA THIAN KEONG,MDM CHOH THIAN JENG CELIA,PRIMARY,acps@moe.edu.sg,No,na,Newton MRT Station,"Bus 48, 66, 67, 170, 603, 972M",NULL,62501633,No,DR NG SIEW PENG IRENE,Chinese,BOYS' SCHOOL,NULL,No,SINGLE SESSION,ANGLO-CHINESE SCHOOL (PRIMARY),NOVENA,50   BARKER ROAD,NULL,Malay,na,SOUTH,18,http://www.acspri.moe.edu.sg/
67845293,No,Tamil,NULL,529366,GOVERNMENT SCHOOL,NULL,MR BHIMBAHADUR GURUNG,PRIMARY,angsana_pri@moe.edu.sg,No,na,Tampines and Simei Stations,"Bus Service 8, 17, 18, 20, 28, 34, 39, 59, 518, Feeder Bus Service 292",NULL,67830427,No,MISS FOONG YIN WEI,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ANGSANA PRIMARY SCHOOL,TAMPINES,3    Tampines Street 22,NULL,Malay,na,EAST,19,www.angsanapri.moe.edu.sg
67636560,No,Tamil,NULL,678117,GOVERNMENT-AIDED SCH,NULL,MISS WONG KER SIN,SECONDARY,AES@MOE.EDU.SG,No,na,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",NULL,65729100,No,MR KWOK CHIN POH BENJAMIN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ASSUMPTION ENGLISH SCHOOL,BUKIT PANJANG,622  UPPER BUKIT TIMAH ROAD,NULL,Malay,na,WEST,20,http://www.assumptionenglish.moe.edu.sg
64471427,No,Tamil,NULL,399935,GOVERNMENT SCHOOL,"MR QUEK POH BENG, KENNETH",MDM SUTINAH BINTE TAIB,SECONDARY,BROADRICK_SS@MOE.EDU.SG,No,na,DAKOTA MRT,"10, 16, 30, 31, 32, 33",NULL,63445025,No,MDM TAN LAY HONG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BROADRICK SECONDARY SCHOOL,GEYLANG,61   DAKOTA CRESCENT,NULL,Malay,na,EAST,35,http://www.broadricksec.moe.edu.sg
67622857,No,Tamil,NULL,679697,SPECIALISED SCHOOL,NULL,MR SHASHIDARAN S/O KANESON,SECONDARY,aps@schools.gov.sg,No,na,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",NULL,62793000,No,MR STEPHEN CHIN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ASSUMPTION PATHWAY SCHOOL,BUKIT PANJANG,30   Cashew Road,NULL,Malay,na,WEST,21,http://www.aps.edu.sg
62805595,No,Tamil,NULL,538403,GOVERNMENT SCHOOL,MR NG CHOR YAM,MRS TAN CHYE NA,SECONDARY,bartley_ss@moe.edu.sg,No,na,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",NULL,62889013,No,MR MOHD AZHAR B TERIMO,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BARTLEY SECONDARY SCHOOL,TOA PAYOH,10   JALAN BUNGA RAMPAI,NULL,Malay,na,SOUTH,22,http://www.bartleysec.moe.edu.sg
67697244,No,Tamil,NULL,679944,GOVERNMENT SCHOOL,MDM LELA BTE SHAMSUHADI,MR ONG HONG GHEE,PRIMARY,beaconprisch@moe.edu.sg,No,na,"Bangkit LRT, Fajar LRT Station","920, 922, 971, 972, 972A, 972M, 976",NULL,67697255,No,MISS PANG WEE MIAN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BEACON PRIMARY SCHOOL,BUKIT PANJANG,36   Bukit Panjang Ring Road,NULL,Malay,na,WEST,23,https://beaconpri.moe.edu.sg/
62542284,No,Tamil,NULL,318990,GOVERNMENT SCHOOL,NULL,MR LIM SOON WAI,SECONDARY,BEATTY_SS@MOE.EDU.SG,No,na,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",NULL,62569108,No,MR LING KHOON CHOW,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BEATTY SECONDARY SCHOOL,TOA PAYOH,1    TOA PAYOH NORTH,NULL,Malay,na,SOUTH,24,http://www.beattysec.moe.edu.sg
64491491,No,Tamil,NULL,469317,GOVERNMENT SCHOOL,MR YEO SHO HOR,MDM SHARIFAH FAIRUZ BTE S Y A,PRIMARY,bgps@moe.edu.sg,No,na,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",NULL,64425416,No,MR YONG YIK YEN BENJAMIN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BEDOK GREEN PRIMARY SCHOOL,BEDOK,1    BEDOK SOUTH AVE 2,NULL,Malay,na,EAST,25,http://www.bedokgreenpri.moe.edu.sg
64465969,No,Tamil,NULL,469722,GOVERNMENT SCHOOL,MISS SAKINAH BINTE MOHAMED SARIP,MS FOO SHEUE FENG (FU XUEFENG),SECONDARY,BGSS@MOE.EDU.SG,No,na,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",NULL,64463301,No,MR BOY ENG SENG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BEDOK GREEN SECONDARY SCHOOL,BEDOK,360  BEDOK NORTH AVE 3,NULL,Malay,na,EAST,26,http://www.bedokgreensec.moe.edu.sg
64491314,No,Tamil,NULL,468585,GOVERNMENT SCHOOL,MISS TAN PO CHIN,MISS AZLINDA BTE SAMSUDIN,SECONDARY,bsss@moe.edu.sg,No,na,TANAH MERAH MRT,"10, 14, 45",NULL,64414479,No,MR TEOH TEIK HOE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BEDOK SOUTH SECONDARY SCHOOL,BEDOK,1    JALAN LANGGAR BEDOK,NULL,Malay,na,EAST,27,http://www.bedoksouthsec.moe.edu.sg
64494286,No,Tamil,NULL,469293,GOVERNMENT SCHOOL,MR LAWRENCE KOH,MDM CH'NG YUEN PING,SECONDARY,bedokview_ss@moe.edu.sg,No,na,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",NULL,64430563,No,MDM TEO YVONNE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BEDOK VIEW SECONDARY SCHOOL,BEDOK,6    BEDOK SOUTH AVENUE 3,NULL,Malay,na,EAST,28,http://www.bedokviewsec.moe.edu.sg
62995735,No,Tamil,NULL,339948,GOVERNMENT SCHOOL,NULL,MRS SANTHI RAVINDRAN,PRIMARY,BENDEMEER_PS@MOE.EDU.SG,No,na,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",NULL,62982911,No,MDM LIM KIM GEK,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BENDEMEER PRIMARY SCHOOL,KALLANG,91   BENDEMEER ROAD,NULL,Malay,na,SOUTH,29,http://www.bendemeerpri.moe.edu.sg/
62932594,No,Tamil,NULL,327919,GOVERNMENT SCHOOL,MR HO CHI CHENG,MR LAWRENCE POON YEW LEE,SECONDARY,BENDEMEER_SS@MOE.EDU.SG,No,na,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",NULL,62927616,No,MR CHEN FOOK PANG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BENDEMEER SECONDARY SCHOOL,KALLANG,1    ST WILFRED ROAD,NULL,Malay,na,SOUTH,30,http://www.bendemeersec.moe.edu.sg
62763037,No,Tamil,NULL,109100,GOVERNMENT SCHOOL,MRS LEONG-HO HIL MAY,MDM ONG AI SIAN,PRIMARY,BRPS@MOE.EDU.SG,No,na,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,NULL,62717387,No,MR FRANCIS FOO,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BLANGAH RISE PRIMARY SCHOOL,BUKIT MERAH,91   TELOK BLANGAH HEIGHTS,NULL,Malay,na,SOUTH,31,http://www.blangahrisepri.moe.edu.sg/
63160209,No,Tamil,NULL,649930,GOVERNMENT SCHOOL,NULL,MDM HOONG WHEE SIEN,PRIMARY,BLGPS@MOE.EDU.SG,No,na,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",NULL,63160998,No,MDM CHRISTINE LIM MIN HUI,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BOON LAY GARDEN PRIMARY SCHOOL,JURONG WEST,20   BOON LAY DRIVE,NULL,Malay,na,WEST,32,www.boonlaygardenpri.moe.edu.sg
67941324,No,Tamil,NULL,648354,GOVERNMENT SCHOOL,MISS SHARON SHEN QIUHUA,MR ABDULATTIF S/O ABDULLAH,SECONDARY,BLSS@MOE.EDU.SG,No,na,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",NULL,67940161,No,MR INDERJIT SINGH,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BOON LAY SECONDARY SCHOOL,JURONG WEST,11   JURONG WEST STREET 65,NULL,Malay,na,WEST,33,https://www.boonlaysec.moe.edu.sg
63856559,No,Tamil,NULL,547529,GOVERNMENT SCHOOL,MR TAY YONG SEAH MELVIN,MISS LIM GUIHAO,SECONDARY,BOWEN_SS@MOE.EDU.SG,No,na,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",NULL,63859466,No,MR LIU EARNLER,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BOWEN SECONDARY SCHOOL,HOUGANG,2    LORONG NAPIRI,NULL,Malay,na,NORTH,34,http://www.bowensec.moe.edu.sg
65607006,No,Tamil,NULL,658962,GOVERNMENT SCHOOL,MR WU TIAN HWEE,MR MAK YEW CHONG,SECONDARY,bbss@moe.edu.sg,No,na,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",NULL,65663121,No,MR PHUA HUAT CHUAN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BUKIT BATOK SECONDARY SCHOOL,BUKIT BATOK,50   BUKIT BATOK WEST AVE 8,NULL,Malay,na,WEST,36,http://www.bukitbatoksec.moe.edu.sg
64744122,No,Tamil,NULL,159050,GOVERNMENT SCHOOL,MDM YAP SHARON,MR KOH YONG HWEE DARYL,SECONDARY,bmss@moe.edu.sg,No,na,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",NULL,64748934,No,MR CHENG GHEE HOCK TIMOTHY,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BUKIT MERAH SECONDARY SCHOOL,BUKIT MERAH,10   LENGKOK BAHRU,NULL,Malay,na,SOUTH,37,http://www.bukitmerahsec.moe.edu.sg
67626576,No,Tamil,NULL,689809,GOVERNMENT SCHOOL,NULL,MR LING TING LIANG EDMUND,SECONDARY,BPGHS@MOE.EDU.SG,No,na,CHOA CHU KANG MRT,"300, 983",NULL,67691031,No,MR CHUA LEK HONG,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,BUKIT PANJANG GOVT. HIGH SCHOOL,CHOA CHU KANG,7    CHOA CHU KANG AVE 4,NULL,Malay,na,WEST,38,http://www.bpghs.moe.edu.sg
67637462,No,Tamil,NULL,679676,GOVERNMENT SCHOOL,NULL,MDM KAY HWEE GEAK,PRIMARY,BPPS@MOE.EDU.SG,No,na,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",NULL,67691912,No,MR BUCKTHA SEELAN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BUKIT PANJANG PRIMARY SCHOOL,BUKIT PANJANG,109  CASHEW ROAD,NULL,Malay,na,WEST,39,http://www.bukitpanjangpri.moe.edu.sg
64692179,No,Tamil,NULL,598112,GOVERNMENT SCHOOL,MDM KITHA D/O ARUMUGAM,MR WONG SUNG LAI,PRIMARY,bukittimahps@moe.edu.sg,No,na,"Beauty World, Bukit Batok and Clementi Stations",173,NULL,64662863,No,MDM LEN LENG LENG TERESA KELLY,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BUKIT TIMAH PRIMARY SCHOOL,BUKIT TIMAH,111  Lorong Kismis,NULL,Malay,na,WEST,40,http://www.bukittimahpri.moe.edu.sg
65635015,No,Tamil,NULL,659634,GOVERNMENT SCHOOL,NULL,MDM TEO ENG HUI,PRIMARY,bukitview_ps@moe.edu.sg,No,na,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",NULL,65661980,No,MDM KOH YUEN CHOO,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BUKIT VIEW PRIMARY SCHOOL,BUKIT BATOK,18   BUKIT BATOK STREET 21,NULL,Malay,na,WEST,41,http://www.bukitviewpri.moe.edu.sg
65630945,No,Tamil,NULL,659633,GOVERNMENT SCHOOL,MR ANG CHERN KWANG KYRIS,MISS WONG KAH WAI SHIRLEY,SECONDARY,BUKITVIEW_SS@MOE.EDU.SG,No,na,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",NULL,65661990,No,MR KEVIN ANG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,BUKIT VIEW SECONDARY SCHOOL,BUKIT BATOK,16   BUKIT BATOK STREET 21,NULL,Malay,na,WEST,42,https://www.bukitviewsec.moe.edu.sg
67587312,No,Tamil,NULL,757714,GOVERNMENT SCHOOL,MR SHAH JAHAN B MOHAMED IQBAL,MS HO STEPHANIE LOUISE,PRIMARY,CANBERRA_PS@MOE.EDU.SG,No,na,Sembawang MRT Station,Bus No. 859,NULL,67597433,No,MR WONG POO MUN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CANBERRA PRIMARY SCHOOL,SEMBAWANG,21   ADMIRALTY DRIVE,NULL,Malay,na,NORTH,43,http://www.canberrapri.moe.edu.sg
67583110,No,Tamil,NULL,757699,GOVERNMENT SCHOOL,MDM ONG LAY YEN,MS TNG YA WEN VALERIE,SECONDARY,CANBERRA_SS@MOE.EDU.SG,No,na,SEMBAWANG MRT,"859, 962",NULL,67585070,No,MR NG TIONG NAM,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CANBERRA SECONDARY SCHOOL,SEMBAWANG,51   SEMBAWANG DRIVE,NULL,Malay,na,NORTH,44,https://canberrasec.moe.edu.sg
68441417,No,Tamil,NULL,387621,GOVERNMENT-AIDED SCH,NULL,MR LEE KOK MENG CLEMENT,PRIMARY,ccps@moe.edu.sg,No,na,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",NULL,68441418,No,MDM SIA LU-MING EUGENIE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CANOSSA CATHOLIC PRIMARY SCHOOL,GEYLANG,1    Sallim Road,NULL,Malay,na,EAST,45,https://canossacatholicpri.moe.edu.sg/
65119556,No,Tamil,NULL,88256,GOVERNMENT SCHOOL,MISS CHENG SHIN MIIN,MRS AUDREA CHIN,PRIMARY,cantonment_ps@moe.edu.sg,No,na,Tanjong Pagar Outram Park,"75, 167, 196",NULL,65119555,No,MRS MANOKARA SUGUNAVATHI,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CANTONMENT PRIMARY SCHOOL,BUKIT MERAH,1    Cantonment Close,NULL,Malay,na,SOUTH,46,http://www.cantonmentpri.moe.edu.sg
65836227,No,Tamil,NULL,518935,GOVERNMENT SCHOOL,MR TAYEB B RAJIB,MR WONG JUNFU STEVEN,PRIMARY,CASUARINA_PS@MOE.EDU.SG,No,na,Pasir Ris MRT Station,"Nos. 12, 21 & 358",NULL,65837132,No,MDM ONG KWEE LAN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CASUARINA PRIMARY SCHOOL,PASIR RIS,30   PASIR RIS ST 41,NULL,Malay,na,EAST,47,http://www.casuarinapri.moe.edu.sg/
64561322 (Secondary),Yes,na,NULL,579767,GOVERNMENT-AIDED SCH,MS TAN PEY SAN,MISS HO PING PING,MIXED LEVELS,chs@moe.edu.sg,Yes,64589869 (Primary),BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",MR TAN KELLY,64582177 (Secondary),Yes,MR POH CHUN LECK,Chinese,BOYS' SCHOOL,NULL,Yes,SINGLE SESSION,CATHOLIC HIGH SCHOOL,BISHAN,9    BISHAN STREET 22,NULL,na,64593938 (Primary),NORTH,48,http://www.catholichigh.moe.edu.sg
62537267,No,na,NULL,297822,GOVERNMENT-AIDED SCH,MDM KAM WAI CHIN,MR TAN JEK SUAN,JUNIOR COLLEGE,catholic_jc@moe.edu.sg,No,na,"Toa Payoh (NS Line),  Novena (NS Line),  Stevens (DT Line),  Caldecott (CC Line,TE Line)","105, 132, 151, 153, 154, 156, 186, 966, 985",NULL,62524083,No,MDM CHUA SUAN GEK PHYLLIS,na,CO-ED SCHOOL,NULL,No,FULL DAY,CATHOLIC JUNIOR COLLEGE,NOVENA,129  WHITLEY ROAD,NULL,na,na,SOUTH,49,https://cjc.moe.edu.sg/
